PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
107,1,1,37,901,31,
157,2,1,42,901,31,
106,1,1,47,902,31,
98,2,1,46,902,31,
134,2,1,20,902,31,
82,2,1,56,904,31,
85,2,1,52,902,31,
107,1,1,51,902,31,
365,2,1,40,903,31,
100,2,2,35,903,31,
108,2,1,72,902,31,
100,1,1,76,902,31,
337,1,1,28,904,31,
289,2,1,32,904,31,
107,2,1,60,902,31,
118,1,1,59,902,31,
116,1,1,73,902,31,
86,2,1,60,902,31,
119,2,1,40,904,31,
112,1,1,38,904,31,
413,2,1,39,902,31,
390,1,1,42,902,31,
123,2,1,37,902,31,
115,1,1,44,902,31,
71,1,1,22,902,31,
100,2,1,53,902,31,
125,1,1,53,902,31,
126,2,2,61,903,31,
125,1,1,64,904,31,
144,2,1,94,904,31,
133,1,1,61,904,31,
66,2,3,31,903,31,
307,1,1,57,902,31,
480,1,9,24,902,31,
459,2,9,56,902,31,
438,2,1,22,902,31,
93,1,1,63,901,31,
84,2,1,61,901,31,
198,1,1,52,904,31,
339,2,1,94,901,31,
86,2,2,47,903,31,
123,1,2,27,903,31,
143,1,2,49,903,31,
103,2,1,77,901,31,
117,1,1,40,902,31,
126,2,1,41,902,31,
79,2,1,62,901,31,
83,1,1,61,901,31,
75,2,1,56,902,31,
84,1,1,64,902,31,
121,2,1,23,902,31,
110,1,2,48,903,31,
116,1,2,20,903,31,
102,2,2,18,903,31,
135,1,1,53,902,31,
104,2,1,45,902,31,
142,2,1,21,902,31,
142,2,1,18,903,31,
123,1,1,54,901,31,
89,2,1,53,901,31,
99,1,1,18,901,31,
98,2,1,52,902,31,
124,1,1,54,902,31,
76,1,1,19,902,31,
120,2,1,79,901,31,
103,1,1,80,901,31,
78,1,1,63,904,31,
78,2,1,59,904,31,
89,1,1,63,901,31,
80,2,1,63,901,31,
74,1,1,24,901,31,
148,1,1,44,901,31,
175,2,1,48,901,31,
72,1,2,66,903,31,
91,1,1,62,902,31,
82,2,1,62,902,31,
121,1,1,71,902,31,
122,2,1,71,902,31,
107,1,1,79,904,31,
109,1,1,70,903,31,
108,2,1,67,903,31,
81,2,1,58,902,31,
90,1,1,61,902,31,
135,1,1,52,902,31,
109,2,1,54,902,31,
76,1,1,76,903,31,
104,2,1,83,902,31,
172,2,1,35,903,31,
123,1,1,60,902,31,
103,1,1,62,904,31,
107,2,1,63,904,31,
98,1,1,60,902,31,
90,2,1,61,902,31,
294,1,9,40,902,31,
135,1,1,41,902,31,
144,2,1,43,902,31,
250,1,1,70,904,31,
258,2,8,25,901,31,
476,1,1,47,903,31,
83,1,1,85,901,31,
103,2,1,56,903,31,
107,1,1,59,903,31,
85,2,1,18,901,31,
134,2,1,18,901,31,
70,2,8,56,904,31,
146,1,8,26,904,31,
137,2,8,21,904,31,
82,2,8,18,904,31,
89,2,1,20,902,31,
130,2,1,20,902,31,
96,1,1,26,902,31,
107,2,1,29,902,31,
78,2,1,24,904,31,
261,1,9,57,901,31,
106,2,1,46,902,31,
119,1,1,19,903,31,
98,2,1,39,904,31,
124,1,1,40,904,31,
78,2,1,61,904,31,
79,2,1,60,901,31,
128,1,1,47,901,31,
137,2,1,42,901,31,
117,1,1,66,902,31,
86,2,1,57,902,31,
109,2,1,68,902,31,
88,2,1,56,904,31,
98,1,1,82,902,31,
90,2,1,75,902,31,
137,1,1,38,901,31,
139,2,1,39,901,31,
151,1,1,48,901,31,
159,2,1,43,901,31,
74,1,1,55,904,31,
105,2,1,81,902,31,
112,1,1,85,902,31,
126,2,1,37,902,31,
118,1,1,36,902,31,
84,1,1,60,902,31,
76,2,1,59,902,31,
88,1,1,57,902,31,
82,2,1,58,902,31,
127,1,1,27,902,31,
